sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,Cation_Family,Anion_Family,PC1,PC2,display_family
61,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,298.141,96.0,Imidazolium,Hydrogen sulfate,-0.21693653559135248,-0.06877225976172592,Imidazolium
62,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,298.15,101.3,Imidazolium,Hydrogen sulfate,-0.1662378958642355,-0.07405381061662518,Imidazolium
63,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,298.18,101.325,Imidazolium,Hydrogen sulfate,0.2996673333189032,-0.04622554491147364,Imidazolium
64,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,298.2,,Imidazolium,Hydrogen sulfate,-0.0909164334735805,-0.047605552600896446,Imidazolium
65,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,299.15,101.325,Imidazolium,Hydrogen sulfate,-0.21458087443736087,-0.06807179973412202,Imidazolium
66,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,299.68,101.325,Imidazolium,Hydrogen sulfate,-0.2754885521507006,-1.1051289327479452,Imidazolium
67,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,301.2,101.325,Imidazolium,Hydrogen sulfate,-0.20974879664840573,-0.0666349728221952,Imidazolium
68,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,302.88,101.325,Imidazolium,Hydrogen sulfate,-0.20577106081775418,-0.06545218600881247,Imidazolium
69,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,303.15,101.3,Imidazolium,Hydrogen sulfate,-0.41230091073824754,-1.1282135526054131,Imidazolium
70,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,305.64,101.325,Imidazolium,Hydrogen sulfate,-0.19934569895161658,-0.06354159324699125,Imidazolium
71,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,306.96,101.325,Imidazolium,Hydrogen sulfate,-0.26790139880854164,-1.0661999770711608,Imidazolium
72,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.07,101.325,Imidazolium,Hydrogen sulfate,-0.2667764786819812,-1.0604281198578027,Imidazolium
73,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.148,96.0,Imidazolium,Hydrogen sulfate,-0.19372851758329737,-0.06187131439145981,Imidazolium
74,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.14,101.325,Imidazolium,Hydrogen sulfate,-0.19373516393036036,-0.06187329069456237,Imidazolium
75,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.15,101.3,Imidazolium,Hydrogen sulfate,-0.19371287908332596,-0.0618666642557206,Imidazolium
76,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.15,101.325,Imidazolium,Hydrogen sulfate,0.8557078226711957,-5.50723588608862,Imidazolium
77,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.191,101.325,Imidazolium,Hydrogen sulfate,-0.00927497906586702,-0.026955035701798847,Imidazolium
78,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.2,101.325,Imidazolium,Hydrogen sulfate,-0.3955668117727023,-1.0980927344304232,Imidazolium
79,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.2,,Imidazolium,Hydrogen sulfate,-0.08949834124052271,-0.04630249913739152,Imidazolium
80,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,310.15,101.325,Imidazolium,Hydrogen sulfate,-0.38938238649894313,-1.086906415593915,Imidazolium
81,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,311.15,101.325,Imidazolium,Hydrogen sulfate,-0.18719305472829095,-0.05992798290506796,Imidazolium
82,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,313.05,101.325,Imidazolium,Hydrogen sulfate,-0.13886836338570904,-0.01887155083767911,Imidazolium
83,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,313.1,101.325,Imidazolium,Hydrogen sulfate,-0.3417770153444773,0.005456388083726687,Imidazolium
84,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,315.22,101.325,Imidazolium,Hydrogen sulfate,-0.2599679181289111,-1.0254940490620559,Imidazolium
85,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,315.65,100.0,Imidazolium,Hydrogen sulfate,-0.17740081080301837,-0.05701624178365157,Imidazolium
86,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,315.85,101.325,Imidazolium,Hydrogen sulfate,-0.2594083315422813,-1.0226228639883095,Imidazolium
87,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,317.16,101.325,Imidazolium,Hydrogen sulfate,-0.25826445602954573,-1.0167537485075917,Imidazolium
88,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,318.08,101.325,Imidazolium,Hydrogen sulfate,-0.25747693111364645,-1.0127130337410857,Imidazolium
89,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,318.43,101.325,Imidazolium,Hydrogen sulfate,-0.2731471731487142,-0.010495809035826404,Imidazolium
90,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,323.0,101.325,Imidazolium,Hydrogen sulfate,0.9263106740543893,-5.341705284524752,Imidazolium
91,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,323.15,98.0,Imidazolium,Hydrogen sulfate,-0.15952096638040403,-0.051699638291423475,Imidazolium
92,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,323.18,101.325,Imidazolium,Hydrogen sulfate,-0.1594563898605087,-0.051680436348549894,Imidazolium
93,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,323.1,101.325,Imidazolium,Hydrogen sulfate,-0.8286530215851636,0.04283085156807717,Imidazolium
94,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,324.0,101.325,Imidazolium,Hydrogen sulfate,-0.2526830910869452,-0.9881163006179955,Imidazolium
95,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,324.93,101.325,Imidazolium,Hydrogen sulfate,-0.2519712027154704,-0.9844636697022646,Imidazolium
96,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,328.82,101.325,Imidazolium,Hydrogen sulfate,-0.24912308286986448,-0.9698502401020381,Imidazolium
97,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,329.08,101.325,Imidazolium,Hydrogen sulfate,-0.248940442335073,-0.9689131290456193,Imidazolium
98,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,331.15,101.325,Imidazolium,Hydrogen sulfate,-0.13761245798668334,-0.045185104412804135,Imidazolium
99,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,332.09,,Imidazolium,Hydrogen sulfate,-0.08546189944257397,-0.042593502400478434,Imidazolium
100,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,332.71,101.325,Imidazolium,Hydrogen sulfate,-0.24650311174174486,-0.9564074196763207,Imidazolium
