feature_type,property,property_short,feature,importance,n_labels,normalized_importance,feature_pretty
functional-group descriptor,ElectricalConductivity,EC,Ani: amide,0.0,185,0.0,Ani: amide
functional-group descriptor,ElectricalConductivity,EC,Ani: aromatic_atom_fraction,0.001767212404189883,185,0.0021878896663769277,Ani: aromatic atom fraction
functional-group descriptor,ElectricalConductivity,EC,Ani: bis_sulfonimide,0.006956503987060608,185,0.008612469645026575,Ani: bis sulfonimide
functional-group descriptor,ElectricalConductivity,EC,Ani: borofluoride,0.007495023813602087,185,0.009279181784911827,Ani: borofluoride
functional-group descriptor,ElectricalConductivity,EC,Ani: branched_aliphatic_carbon_fraction,0.0020753576646785478,185,0.002569387572099944,Ani: branched aliphatic carbon fraction
functional-group descriptor,ElectricalConductivity,EC,Ani: carbonyl,0.010235842504865818,185,0.012672440500056252,Ani: carbonyl
functional-group descriptor,ElectricalConductivity,EC,Ani: carboxylate,0.0033310238180707234,185,0.004123959617266972,Ani: carboxylate
functional-group descriptor,ElectricalConductivity,EC,Ani: charged_atom_fraction,0.027839389637213302,185,0.0344664358178392,Ani: charged atom fraction
functional-group descriptor,ElectricalConductivity,EC,Ani: ester,0.0,185,0.0,Ani: ester
functional-group descriptor,ElectricalConductivity,EC,Ani: ether,0.0,185,0.0,Ani: ether
functional-group descriptor,ElectricalConductivity,EC,Ani: fluorinated_carbon,0.01833584870438318,185,0.022700618108755805,Ani: fluorinated carbon
functional-group descriptor,ElectricalConductivity,EC,Ani: halide_anion,0.006923189537750708,185,0.00857122483528364,Ani: halide anion
functional-group descriptor,ElectricalConductivity,EC,Ani: hbond_acceptor,0.041426088374007394,185,0.05128738936928012,Ani: H-bond acceptor
functional-group descriptor,ElectricalConductivity,EC,Ani: hbond_donor,0.008314577563086878,185,0.010293826756442694,Ani: H-bond donor
functional-group descriptor,ElectricalConductivity,EC,Ani: hetero_aromatic_atom,0.0,185,0.0,Ani: hetero aromatic atom
