property,abs_log_error,positive_prediction
Density,0.0024633892168832716,True
Density,0.0018290391335042955,True
Density,0.004139346566479851,True
Density,0.008758398355656283,True
Density,0.003750428267932371,True
Density,0.0011934955494989907,True
Density,0.004002528939629713,True
Density,0.002058102588690325,True
Density,0.007480170802289798,True
Density,0.0016327210217879085,True
Density,0.0013289840585102297,True
Density,0.003929148386227155,True
Density,0.0033059683390170846,True
Density,0.002622675205195435,True
Density,0.004717324813330315,True
Density,0.002465884785785022,True
Density,0.001355694255027018,True
Density,0.0009189502616759881,True
Density,0.003623493913301523,True
Density,0.005507096340219952,True
Density,0.00031315811945820116,True
Density,0.002755550486935654,True
Density,0.0032550275018063957,True
Density,0.003473749284058414,True
Density,0.003392773636654134,True
Density,0.00193746178331633,True
Density,0.008803764205883802,True
Density,0.0016827542237543014,True
Density,0.003703221845809068,True
Density,1.2412687621754515e-05,True
Density,0.0012783460199159435,True
Density,0.01879506736806036,True
Density,0.0005335265463344285,True
Density,0.0004200797204081397,True
Density,1.5359019264415963e-05,True
Density,0.0023012114409413087,True
Density,1.6774335782621108e-05,True
Density,0.0018286954569273206,True
Density,0.00020408305918628855,True
Density,0.006524084952785891,True
Density,0.0021234257131554912,True
Density,0.0003866772018330522,True
Density,0.034651226023736825,True
Density,0.004983223011781668,True
Density,0.0011644673391817406,True
Density,0.0045504065244932335,True
Density,0.013269511868394979,True
Density,0.0014128802771073978,True
Density,0.0010338750563443355,True
Density,0.0007672696547249558,True
Density,0.0001553733322889883,True
Density,0.0005627113867632261,True
Density,0.004534670353618431,True
Density,0.0030609253918134627,True
Density,0.00496490204930744,True
Density,0.002746029283492213,True
Density,0.008610427409037946,True
Density,0.004155232399802422,True
Density,0.006244711550703386,True
Density,0.001305156693311993,True
Density,0.0049342435777184335,True
Density,0.0006599650047593997,True
Density,0.0006064340314075878,True
Density,2.2536037608489323e-05,True
Density,0.0009249700840161523,True
Density,0.0003491066554346389,True
Density,0.0021342464764932956,True
Density,0.0010619319156059959,True
Density,0.0011821639199514067,True
Density,6.018587512901519e-05,True
Density,0.0034083833540421438,True
Density,0.0021725028787376033,True
Density,0.002233995123625654,True
Density,0.001746238069918249,True
Density,0.0019841625588457035,True
Density,0.001826704105694965,True
Density,0.009165261897756238,True
Density,0.0034461521267665773,True
Density,0.00495490865037862,True
Density,0.00012880239336166,True
Density,0.00022324660958528142,True
Density,0.0004106066790487972,True
Density,0.01618379116711477,True
Density,0.001695593350113711,True
Density,0.004421135662082243,True
Density,0.001543991625866603,True
Density,0.0032391868368621957,True
Density,0.0007515230481320856,True
Density,0.0006669681656470416,True
Density,0.003134698567882843,True
Density,0.00091795613700274,True
Density,0.0008673675856449847,True
Density,0.0025767219516792395,True
Density,0.0010943217000241034,True
Density,0.001487288385560781,True
Density,0.004757424453243786,True
Density,0.003237653926609241,True
Density,0.0007677204733749221,True
Density,0.0025959942242463896,True
Density,0.0013795039833670586,True
Density,0.0014510047575608809,True
Density,0.003355567790086944,True
Density,0.008395261568280077,True
Density,0.000728667665803151,True
Density,0.00010578572356045868,True
Density,0.0019086646169323984,True
Density,0.0029130468623526085,True
Density,0.004516604290375703,True
Density,0.0010085394652801227,True
Density,0.0006031579715237712,True
Density,0.0013475304967824897,True
Density,0.05598269308427373,True
Density,0.005143540759787513,True
Density,0.001109158409946076,True
Density,0.004248590182447387,True
Density,0.0011991398000761322,True
Density,0.007193899312482266,True
Density,0.00567626718110148,True
Density,0.0011768039533297525,True
Density,0.0009989148883962073,True
Density,0.005283423219681005,True
Density,0.0005702974439625308,True
Density,0.00026839609288042965,True
Density,0.0013409459175424132,True
Density,0.001832886789654431,True
Density,0.004913816536832982,True
Density,0.0006193811349266554,True
Density,0.0006561054202451899,True
Density,0.001053712541385643,True
Density,0.0028438339413048297,True
Density,0.003914909908760755,True
Density,0.0023136931931349025,True
Density,0.006734380520462047,True
Density,0.0017342444030932214,True
Density,0.0005832292092886604,True
Density,0.0033238868553615575,True
Density,0.0023402358495037134,True
Density,9.767494958978773e-05,True
Density,0.005653392371126387,True
Density,0.0005650973512318913,True
Density,0.0003147556073370694,True
Density,6.018587512901519e-05,True
Density,0.005689624549808592,True
Density,0.003939595808401641,True
Density,0.0029057953770603717,True
Density,0.0035065809401597647,True
Density,0.0010217964336112217,True
Density,0.0012883771853173798,True
Density,0.0026607316549229765,True
Density,0.0005235657726609944,True
Density,0.004684920242891799,True
Density,0.0015820332278391191,True
Density,0.00015964683400593316,True
Density,0.0028267966812540735,True
Density,0.0034061954170514497,True
Density,0.0009137311920177638,True
Density,0.005200825543542287,True
Density,0.0010028200855254354,True
Density,0.003585879680936266,True
Density,0.00048159423017679615,True
Density,0.00040447170656499054,True
Density,0.009652752551653876,True
Density,0.0010919365114139268,True
Density,0.007364210878586519,True
Density,0.01831043251123976,True
Density,0.003915748925670037,True
Density,0.005232453481140986,True
Density,0.006754706193849103,True
