property,Temperature_K,temperature_bin,abs_log_error
Density,338.15,320-360,0.00023263319909982982
Density,323.15,320-360,0.003218083572249064
Density,343.15,320-360,0.00017592409397693132
Density,333.16,320-360,0.0012298351338024816
Density,403.55,>360,0.012140773810435768
Density,323.15,320-360,0.0049619328562648946
Density,308.15,300-320,0.004773555289727227
Density,313.15,300-320,0.009875764955143751
Density,360.15,>360,0.0033763312166099624
Density,313.15,300-320,0.0017909762604464419
Density,290.15,280-300,0.0017982477319868906
Density,313.15,300-320,0.00016252948122197353
Density,413.15,>360,0.0006190119658606719
Density,388.15,>360,0.000629067790699267
Density,313.15,300-320,0.004193328222789283
Density,317.15,300-320,0.0012780238354412887
Density,308.15,300-320,6.291319106122018e-05
Density,293.15,280-300,0.03702490756871413
Density,311.16,300-320,0.002276011607788675
Density,298.15,280-300,0.0005583308736634152
Density,308.15,300-320,0.005343990650557906
Density,293.15,280-300,0.0038190636163912828
Density,301.2,300-320,0.0017943855451978408
Density,322.62,320-360,6.951271921451507e-05
Density,320.65,320-360,0.004018142272871117
Density,306.15,300-320,0.002293588227406218
Density,313.15,300-320,0.0013298322861743372
Density,303.0,300-320,0.011945744656896906
Density,293.15,280-300,0.001537793352721195
Density,298.118,280-300,0.002175375800137047
Density,363.15,>360,0.0014128513108007112
Density,353.15,320-360,0.007903141181405893
Density,324.0,320-360,9.060768273627673e-05
Density,357.16,320-360,0.0024988307404187893
Density,313.25,300-320,4.524331430300066e-05
Density,348.15,320-360,0.0007208262971687418
Density,323.15,320-360,0.0038242679522833
Density,323.15,320-360,0.003933445379135314
Density,363.15,>360,0.005544323866963019
Density,353.15,320-360,0.0035914666542931073
Density,337.16,320-360,0.0014615275150697826
Density,323.15,320-360,0.0026521573181508273
Density,339.15,320-360,0.002419467065315928
Density,349.15,320-360,0.0018063498733740246
Density,302.73,300-320,0.001056270066545295
Density,318.15,300-320,0.005215222895365024
Density,286.4,280-300,0.0027755791594632484
Density,308.65,300-320,0.005852736485556065
Density,343.15,320-360,0.0009708682520104261
Density,361.15,>360,0.0033295730287443703
Density,333.66,320-360,0.0011558945268070886
Density,293.15,280-300,0.005581311994889759
Density,343.15,320-360,0.0017481961753018638
Density,293.15,280-300,0.0010436830071895997
Density,363.15,>360,0.007964517464228216
Density,363.15,>360,0.0015798176732930713
Density,303.03,300-320,0.0036782564693691455
Density,350.81,320-360,0.0028748583081119605
Density,303.15,300-320,0.0027538530815096607
Density,318.15,300-320,0.004512321063913305
Density,313.15,300-320,0.0010818930525475778
Density,333.15,320-360,0.00037227558028263275
Density,338.15,320-360,0.005307243083123581
Density,318.15,300-320,0.0018158750664589718
Density,303.15,300-320,0.00019445189017996967
Density,363.15,>360,0.0025057089014097755
Density,278.37,<280,0.001575431520199011
Density,323.13,320-360,0.001991170164771461
Density,342.67,320-360,0.004661060969127995
Density,318.15,300-320,0.002278957617415145
Density,293.15,280-300,0.0028715594306198966
Density,323.15,320-360,0.0018936432371878809
Density,338.17,320-360,0.0005489922571495498
Density,343.15,320-360,0.00530468716126542
Density,333.15,320-360,0.010261125756584555
Density,283.16,280-300,0.0006842344094142305
Density,278.15,<280,0.004723072346938473
Density,313.09,300-320,0.00035712959108558096
Density,315.15,300-320,0.0008549352017999112
Density,298.15,280-300,0.004860886808740972
Density,303.15,300-320,0.001988926641438127
Density,314.9,300-320,0.001258902392253347
Density,278.15,<280,0.020664776326612788
Density,323.15,320-360,0.005573271979031347
Density,323.0,320-360,0.007111528905535458
Density,296.9,280-300,0.00038628750069058526
Density,398.15,>360,0.003471382077462337
Density,318.15,300-320,0.004592364879125732
Density,318.15,300-320,0.002089096688854042
Density,288.15,280-300,0.005728769766984776
Density,298.15,280-300,0.003349768317064239
Density,313.15,300-320,0.005443648917747623
Density,328.15,320-360,0.002500620730628178
Density,353.15,320-360,0.006894516317685451
Density,318.15,300-320,0.006867908481883234
Density,348.079,320-360,0.012827471626112974
Density,352.93,320-360,0.0007204029859853023
Density,293.15,280-300,0.013699955756893978
Density,293.15,280-300,0.00040722133708381847
Density,343.15,320-360,0.009359867550233325
Density,353.15,320-360,0.0013700179873863405
Density,338.15,320-360,0.002534002114606082
Density,303.15,300-320,0.001739935945900939
Density,334.41,320-360,0.0018301136075127289
Density,303.15,300-320,0.00021928109946411922
Density,283.4,280-300,0.001408095898755235
Density,353.15,320-360,0.0007170153595170703
Density,313.15,300-320,0.009304941333094341
Density,323.15,320-360,0.002196846538980779
Density,298.15,280-300,0.0033146128538348307
Density,373.15,>360,0.0008324397900727476
Density,313.15,300-320,0.0010109474532864482
Density,308.15,300-320,0.004112692802620721
Density,313.15,300-320,0.003571030408495268
Density,303.15,300-320,0.005248072212062027
Density,300.15,300-320,0.0005301529804855321
Density,308.24,300-320,0.017484310721719964
Density,343.15,320-360,0.007030968659351267
Density,303.15,300-320,0.0013942106509361452
Density,343.15,320-360,0.009379004262411783
Density,349.15,320-360,0.0028176002631123964
Density,348.15,320-360,0.005651463826663594
Density,303.29,300-320,0.011382063983673696
Density,338.152,320-360,0.0020094728054456112
Density,357.15,320-360,0.0018887763611568076
Density,343.4,320-360,0.0060366258975976805
Density,338.15,320-360,0.0009503954358676125
Density,358.15,320-360,0.0008120860039904088
Density,312.79,300-320,0.0012563761007884366
Density,333.15,320-360,0.006808676821520976
Density,343.15,320-360,0.0015435380155617295
Density,297.0,280-300,0.0006084252724818384
Density,293.4,280-300,0.0004300512580810434
Density,303.15,300-320,0.0033874759934287013
Density,343.15,320-360,0.0016541877797466853
Density,323.15,320-360,0.0008015686884670359
Density,338.16,320-360,0.0012020958028777784
Density,353.07,320-360,0.002412361421042064
Density,283.15,280-300,0.0015392475964501884
Density,333.15,320-360,0.00554947841351261
Density,373.0,>360,0.011381731162050102
Density,348.15,320-360,0.002721718044827348
Density,323.53,320-360,0.002838217850983149
Density,303.15,300-320,0.0016634947202947004
Density,323.0,320-360,0.0022860008904608264
Density,298.0,280-300,0.05678462863930722
Density,298.15,280-300,0.005756832039808479
Density,323.15,320-360,0.0017966947767895647
Density,353.0,320-360,0.009822744450748822
Density,363.15,>360,0.00040299259826959144
Density,293.15,280-300,0.009980259562016869
Density,308.15,300-320,0.0016955709239274697
Density,328.15,320-360,0.002558732000079722
Density,313.15,300-320,0.0046462137674296855
Density,353.14,320-360,0.0037283501793918816
Density,323.15,320-360,0.004286812966340925
Density,328.15,320-360,0.004509427432967783
Density,338.15,320-360,0.002810026335179572
Density,283.15,280-300,0.008136780411528655
Density,348.15,320-360,0.004471704711420443
Density,298.398,280-300,0.0005359147132928399
Density,323.15,320-360,0.001934160912536953
Density,319.15,300-320,0.002646030982948133
Density,383.15,>360,0.0023645266863301373
Density,353.15,320-360,0.01003123031999209
Density,298.0,280-300,0.0037903386016981955
Density,318.21,300-320,0.0017610797610760898
Density,292.65,280-300,0.0028677162086667707
Density,303.15,300-320,0.002104277298555779
Density,300.15,300-320,0.08214898256829084
Density,303.15,300-320,0.0047883901936423
Density,303.16,300-320,0.0022824940921264414
Density,301.15,300-320,0.0009073332140090429
Density,323.15,320-360,0.0003390623807355553
Density,338.55,320-360,0.004770786197917154
Density,338.15,320-360,0.005776868646416133
Density,343.15,320-360,0.003328335117590342
Density,352.15,320-360,0.002690335853962722
Density,309.15,300-320,0.005629056446307068
Density,333.15,320-360,0.004447976150011357
Density,313.15,300-320,0.0014248522463944369
Density,335.16,320-360,0.0031823799419790078
Density,310.15,300-320,0.0019207600439159478
Density,318.15,300-320,0.002515318375766462
Density,298.15,280-300,0.002108461521705074
Density,322.15,320-360,0.004534273334763306
Density,332.45,320-360,0.007181163417810943
Density,298.15,280-300,0.023455622806553222
Density,343.15,320-360,0.0015615605480352457
Density,303.14,300-320,0.0014248198286637148
Density,315.15,300-320,0.0012283706480245016
Density,342.98,320-360,0.0006866146205330992
Density,353.15,320-360,0.005304835745932657
Density,337.4,320-360,0.0014706146776299889
Density,333.15,320-360,0.0029629505200885475
Density,283.3,280-300,0.001415729927736642
Density,333.15,320-360,0.0015988074699944121
Density,323.15,320-360,0.002026614600093346
Density,358.15,320-360,0.005853617466684113
Density,353.15,320-360,0.008070288198707587
Density,317.71,300-320,0.0053458366205525465
Density,298.15,280-300,0.005111245963303368
Density,333.15,320-360,0.00042340037732735425
Density,333.0,320-360,0.0011868134225050397
Density,338.0,320-360,0.003693074514096395
Density,314.15,300-320,0.0024676076131990854
Density,323.15,320-360,0.005378800410738904
Density,273.15,<280,0.0006124680242427516
Density,331.41,320-360,0.0011610484599771098
Density,308.15,300-320,0.004145096844522911
Density,353.15,320-360,0.007164936369103536
Density,278.15,<280,0.0027256440396890014
Density,313.15,300-320,0.00663477349295416
Density,291.15,280-300,0.002124742750822861
Density,343.26,320-360,0.0004228232851515301
Density,318.15,300-320,0.02845236897658676
Density,293.15,280-300,0.004157042129296684
Density,350.15,320-360,0.0033484511460724065
Density,323.15,320-360,0.0017213661461505936
Density,343.15,320-360,0.0074061531858102825
Density,263.48,<280,0.006483972786911707
Density,338.0,320-360,0.0018287676217694226
Density,313.15,300-320,0.00015536624901368867
Density,298.15,280-300,0.009909981544772073
Density,342.15,320-360,0.0010027619852630565
Density,303.15,300-320,0.0009750727498953893
Density,313.15,300-320,0.0030598045999514767
Density,348.15,320-360,0.0020423453868145813
Density,353.15,320-360,0.0004172794847283612
Density,296.15,280-300,0.0015243321763920292
Density,333.15,320-360,0.0018964017723526183
Density,308.15,300-320,0.009319738051154935
Density,343.15,320-360,0.012511259511735595
Density,303.15,300-320,0.004026829798896792
Density,326.41,320-360,0.001752849179347038
Density,355.15,320-360,0.0026135097753323677
Density,328.0,320-360,0.001020900834789451
Density,313.0,300-320,0.0007124803097040555
Density,268.12,<280,0.007042844361672351
Density,347.9,320-360,3.9177953047087044e-05
Density,338.15,320-360,0.010529037966970023
Density,298.9,280-300,0.002338429400647435
Density,352.72,320-360,0.007719091363791897
Density,363.15,>360,0.0031953283470045335
Density,308.15,300-320,0.003988367547278493
Density,323.15,320-360,0.00047206147386091857
Density,293.15,280-300,0.0046457583843819705
Density,278.15,<280,0.008121927375439597
Density,298.15,280-300,0.0027690210675865856
Density,336.15,320-360,0.0013060984500281592
Density,345.15,320-360,0.00046342483013539493
Density,323.15,320-360,0.0031687272075826556
Density,338.15,320-360,0.0037531706478972637
Density,348.29,320-360,0.0008889257367297176
Density,310.65,300-320,0.000970836147850207
Density,318.15,300-320,0.008087660334514801
Density,328.9,320-360,0.0011244618616608193
Density,293.15,280-300,0.0030292726441087936
Density,338.15,320-360,0.0020241055532475016
Density,263.45,<280,0.003718787590734074
Density,288.15,280-300,0.012260872915921261
Density,317.15,300-320,0.000708070591775467
Density,300.65,300-320,0.003019218813202329
Density,283.15,280-300,0.0008288761497432517
Density,299.15,280-300,0.002829006407184309
Density,323.29,320-360,0.012285147210746139
Density,318.18,300-320,0.00012404294973489272
Density,318.41,300-320,0.0022292012806097716
Density,333.15,320-360,0.003632983331208095
Density,316.16,300-320,0.0008278497597418166
Density,313.4,300-320,0.002108125233502456
Density,332.77,320-360,0.003561457936103629
Density,303.0,300-320,0.005126539135153152
Density,353.68,320-360,0.005067379434324337
Density,327.15,320-360,0.003041296501583801
Density,363.28,>360,0.0030392217635384355
Density,333.15,320-360,0.003288784688082025
Density,373.15,>360,0.005250910257828423
Density,283.3,280-300,0.0013175642707716761
Density,348.0,320-360,0.0003257562881762155
Density,353.15,320-360,0.00535109365287223
Density,308.15,300-320,0.0007376123842863791
Density,321.15,320-360,0.005826369676908527
Density,347.15,320-360,0.003372675919764312
Density,347.68,320-360,0.00030518403309365283
Density,353.15,320-360,0.01443476056287274
Density,333.15,320-360,0.0012478286255683813
Density,318.15,300-320,0.004493317179230516
Density,343.15,320-360,0.0006231800910434515
Density,303.2,300-320,0.0008339527143830239
Density,273.16,<280,0.002743222768822662
Density,288.15,280-300,0.002338831875482228
Density,313.15,300-320,0.007911109970835106
Density,343.15,320-360,0.0009709004506257557
Density,336.0,320-360,0.0013336506038230667
Density,338.15,320-360,0.0030941993716613325
Density,302.85,300-320,0.00238124849052479
Density,298.15,280-300,0.0017996067402190619
Density,318.15,300-320,0.0062684411376920934
Density,348.15,320-360,0.0014080309712234396
Density,313.16,300-320,0.0003852658802578901
Density,335.16,320-360,0.000131701995279343
Density,308.25,300-320,0.013680444387657253
Density,293.15,280-300,0.0019120074810246024
Density,291.65,280-300,0.0008854515624285852
Density,293.15,280-300,0.005562282814961961
Density,343.08,320-360,0.0018753202842143324
Density,308.15,300-320,0.0016398654145408642
Density,338.15,320-360,0.0068782168078938
Density,328.15,320-360,3.9023088878487044e-05
Density,348.15,320-360,0.0012321284858076709
Density,293.15,280-300,0.011156442338558392
Density,293.15,280-300,0.00020357317055630375
Density,298.15,280-300,0.0005187026173549825
Density,329.15,320-360,0.0028667735146790108
Density,323.04,320-360,0.0018624710845340786
Density,283.15,280-300,0.0009770807753177735
Density,325.65,320-360,0.0002404198455190354
Density,353.15,320-360,4.993711506529053e-05
Density,323.15,320-360,0.0015711972085874493
Density,313.15,300-320,0.0032039795388119074
Density,317.15,300-320,0.00551507469864454
Density,341.15,320-360,0.002499032539896362
Density,353.15,320-360,0.0035511402150536497
Density,298.15,280-300,0.0027751803927218432
Density,333.15,320-360,0.0015903752769359514
Density,323.15,320-360,0.0004716601189018732
Density,313.15,300-320,0.000703408535270178
Density,323.15,320-360,0.001533491689482247
Density,353.0,320-360,0.008273178210857601
Density,288.15,280-300,0.0015792332977495604
Density,288.15,280-300,3.0593199268125204e-05
Density,332.15,320-360,0.0027890890008483993
Density,292.15,280-300,0.002289017035762342
Density,342.41,320-360,0.0015501950158265387
Density,310.65,300-320,0.0010390977575216453
Density,303.15,300-320,0.0016431689218308065
Density,293.15,280-300,0.001393304890610736
Density,283.15,280-300,0.0010768216975343137
Density,316.91,300-320,0.0021911773687994796
Density,301.15,300-320,0.003911040536384469
Density,293.15,280-300,0.0006499078806463388
Density,325.66,320-360,0.0006986056511975036
Density,358.15,320-360,0.0007599473708390647
Density,293.15,280-300,0.004820439383830255
Density,308.15,300-320,0.0002412752854876743
Density,348.15,320-360,0.006145937153853254
Density,273.1,<280,0.0006398716654905101
Density,333.15,320-360,0.007290849619987938
Density,313.15,300-320,0.003266399019769217
Density,363.15,>360,0.0006675966170623937
Density,315.1,300-320,0.001339931896962021
Density,298.15,280-300,2.4753742168037718e-05
Density,333.16,320-360,0.0019721692493304133
Density,288.15,280-300,0.005100189586141113
Density,313.15,300-320,0.0002803675306575215
Density,283.15,280-300,0.00510840187078454
Density,311.4,300-320,0.0018729337120362288
Density,298.15,280-300,0.0009962680967952053
Density,298.15,280-300,0.010678366719028887
Density,353.15,320-360,0.000990395046991388
Density,313.15,300-320,0.0071741336911275155
Density,298.15,280-300,0.001356099924710641
Density,293.15,280-300,0.0031052575437842123
Density,335.66,320-360,0.0001511470695518824
Density,353.15,320-360,0.0012407100398315052
Density,291.1,280-300,0.0012402577902106415
Density,313.53,300-320,0.002909137570025422
Density,283.15,280-300,0.004352108413979927
Density,304.15,300-320,0.002809934541722292
Density,308.15,300-320,0.0017394618828134867
Density,343.15,320-360,0.007772468982166103
Density,313.0,300-320,0.009092333678937692
Density,300.15,300-320,0.008699872268294051
Density,323.15,320-360,0.005361981232881341
Density,303.0,300-320,0.003560444292564746
Density,303.15,300-320,0.00094901162411265
Density,318.15,300-320,0.0006691386158701462
Density,310.15,300-320,0.0017971906107669966
Density,308.15,300-320,0.0007553149597345765
Density,278.15,<280,0.009438652425789229
Density,348.15,320-360,0.0058241483068659505
Density,293.15,280-300,0.0014487316213269708
Density,303.15,300-320,0.02245092536430171
Density,298.15,280-300,0.008182509786933245
Density,298.1,280-300,0.010512805251784663
Density,295.65,280-300,0.00021366951004520018
Density,308.15,300-320,0.008664750363514884
Density,303.15,300-320,0.0036858264697787746
Density,298.15,280-300,0.00016251529223776373
Density,293.0,280-300,0.0035238171753668723
Density,348.15,320-360,0.0015529863752359319
Density,312.148,300-320,7.148027681136426e-05
Density,323.2,320-360,0.0029090621670526673
Density,284.15,280-300,0.0010327876746689668
Density,283.15,280-300,0.001521187999141027
Density,363.15,>360,0.000767797721883845
Density,333.15,320-360,0.006767886704721171
Density,336.15,320-360,0.0009349402983804822
Density,315.15,300-320,0.0035739216718937428
Density,324.15,320-360,0.0033388133326903713
Density,323.91,320-360,0.0006837211966441714
Density,343.15,320-360,0.0041446258364112865
Density,298.16,280-300,0.005648084409964227
Density,332.67,320-360,0.0016254751104725074
Density,343.16,320-360,0.0007491601563085482
Density,293.1,280-300,0.005786375286139567
Density,320.65,320-360,0.0003823623092671369
Density,310.145,300-320,0.0018854019574119363
Density,323.15,320-360,0.0013599001816375633
Density,317.15,300-320,0.00042489237213505504
Density,338.0,320-360,0.0009941613594017795
Density,313.15,300-320,0.0009569864156739882
Density,373.15,>360,0.00021511998099832397
Density,318.2,300-320,0.0026978517413942527
Density,343.15,320-360,0.010434589541448602
Density,333.15,320-360,0.0019158874267670711
Density,305.9,300-320,0.0009284771436890438
Density,333.15,320-360,0.004942380636919985
Density,333.2,320-360,0.004893348253536267
Density,343.15,320-360,0.002042849233460764
Density,278.15,<280,0.00195598824665133
Density,335.16,320-360,0.004505697872166259
Density,333.15,320-360,0.00462589842072525
Density,343.15,320-360,0.004222407809820972
Density,342.15,320-360,0.002563092535946332
Density,368.15,>360,0.005209559008054754
Density,293.2,280-300,0.0013360360218230838
Density,317.89,300-320,0.002758510871990083
Density,320.65,320-360,0.0016122865509968776
Density,293.2,280-300,0.0004945233685820227
Density,293.15,280-300,0.0004211099304773924
Density,308.15,300-320,0.000695726386775064
Density,308.15,300-320,0.008985101524556782
Density,298.15,280-300,0.0095605839326387
Density,313.15,300-320,2.2406260897334107e-05
Density,473.15,>360,0.004768314520186223
Density,303.15,300-320,0.0007214829414685653
Density,308.15,300-320,0.004922001241476792
Density,324.15,320-360,0.0026688670693246763
Density,343.15,320-360,0.01367143083773481
Density,303.0,300-320,0.004389841100898018
Density,343.15,320-360,0.002712707622897881
Density,339.15,320-360,0.008853319533845827
Density,298.15,280-300,0.002018020430032408
Density,313.14,300-320,0.0007672419844340084
Density,313.15,300-320,0.0001410921747506677
Density,319.16,300-320,0.0011377721650562833
Density,303.15,300-320,0.007511948578971861
Density,293.15,280-300,0.004819744157806838
Density,353.15,320-360,0.0022011140853352984
Density,363.14,>360,0.00356244339074685
Density,330.15,320-360,0.0011397632666572122
Density,358.15,320-360,0.0053687017094672385
Density,303.15,300-320,0.007287457598413205
Density,338.15,320-360,0.006191290463821275
Density,418.15,>360,0.0032153470355753555
Density,288.15,280-300,0.0012058930030827142
Density,293.15,280-300,0.006493037445714833
Density,294.65,280-300,0.0027180772213499793
Density,318.15,300-320,0.0012960109314450463
Density,388.15,>360,0.003583459851124182
Density,373.15,>360,0.00847004988831479
Density,293.49,280-300,0.0005612381776423092
Density,273.15,<280,0.001411928352680114
Density,303.15,300-320,0.004840343989700457
Density,333.15,320-360,0.000792484681078065
Density,301.15,300-320,0.0014558468188932139
Density,301.15,300-320,0.004963922046329117
Density,338.15,320-360,0.007106675976816135
Density,293.0,280-300,0.0018415705185530484
Density,298.15,280-300,0.0032310563604855957
Density,348.15,320-360,0.007820139086025968
Density,311.15,300-320,0.00030565426746065327
Density,364.72,>360,0.006615646998759495
Density,293.0,280-300,0.004073086665844272
Density,358.15,320-360,0.001107675640120931
Density,313.15,300-320,0.0033969460884719638
Density,298.15,280-300,0.0002970196041855999
Density,303.15,300-320,0.0025476725126321043
Density,298.15,280-300,0.001910712415368998
Density,310.15,300-320,0.0014375911482629178
Density,338.15,320-360,0.004608589667838281
Density,318.15,300-320,0.0105656601326789
Density,303.15,300-320,0.003727527379921547
Density,373.15,>360,0.005729213559853008
Density,303.15,300-320,0.005208459574538971
Density,333.15,320-360,0.0006939473218050551
Density,343.15,320-360,0.004505068866987649
Density,308.15,300-320,0.003227277370128512
Density,353.2,320-360,0.0007843915389624811
Density,287.15,280-300,0.004746314760705417
Density,308.15,300-320,0.0397963748454222
Density,278.15,<280,0.003792811311885025
Density,333.15,320-360,0.0028194857973042886
Density,288.15,280-300,0.0031313372570878073
Density,298.15,280-300,0.0026755245849043874
Density,348.15,320-360,0.004987319894084408
Density,328.75,320-360,0.0006479366032650091
Density,279.15,<280,0.0030464675869303903
Density,298.15,280-300,0.002523838605285711
Density,295.4,280-300,0.00199118682835131
Density,343.15,320-360,0.002697513457248668
Density,363.15,>360,0.0017261736078237888
Density,323.15,320-360,0.0009861237799118072
Density,333.15,320-360,0.0027189149495034926
Density,309.147,300-320,9.107345746173223e-05
Density,338.0,320-360,0.0002793532705638313
Density,319.15,300-320,0.0018797292437646718
Density,313.15,300-320,0.004034099182837814
Density,313.15,300-320,0.019363417814274086
Density,303.15,300-320,0.0011272437231450994
Density,318.15,300-320,0.004040261471147666
Density,318.15,300-320,0.0011673613438576425
Density,298.15,280-300,0.009380935465472362
Density,313.15,300-320,0.006450073898930597
Density,307.15,300-320,0.0016646679708287593
Density,320.15,320-360,0.002374172613074599
Density,302.65,300-320,0.0014625935199585882
Density,333.0,320-360,0.006874535640091217
Density,293.15,280-300,0.0700550152258197
Density,305.15,300-320,0.005416299242923195
Density,313.15,300-320,0.004991064412399382
Density,308.2,300-320,0.0028916190116028417
Density,333.23,320-360,0.0004562166570316606
Density,269.08,<280,0.0019168993839651094
Density,333.15,320-360,0.00357524883953797
Density,313.15,300-320,0.0005841567005147041
Density,303.11,300-320,0.0019521035257801245
Density,323.0,320-360,0.001688828651359664
Density,303.15,300-320,0.005336717533354296
Density,348.15,320-360,0.00015022596591851567
Density,328.15,320-360,0.004280541088324874
Density,318.15,300-320,0.007921231254009342
Density,339.15,320-360,0.0020984689882217467
Density,298.15,280-300,0.0026263425107186933
Density,303.15,300-320,0.004503365426105077
Density,343.15,320-360,0.005916168290672985
Density,353.15,320-360,0.0010928678684383186
Density,330.15,320-360,0.00816631408232471
Density,294.1,280-300,0.008910223437454512
Density,298.15,280-300,0.0032719754962799996
Density,298.15,280-300,0.008713126493260503
Density,323.15,320-360,0.004268986125173235
Density,303.0,300-320,0.038443045107556806
Density,287.895,280-300,0.00015829854330551285
Density,363.2,>360,0.0012139536859745448
Density,295.45,280-300,0.003297845050208359
Density,323.15,320-360,8.63637027617159e-05
Density,313.15,300-320,0.0026974919859084068
Density,319.16,300-320,0.0009046456452495022
Density,308.15,300-320,0.0014590683346105138
Density,348.2,320-360,0.0009923471517527815
Density,338.15,320-360,0.0052642457043354796
Density,313.1,300-320,0.001461949384311545
Density,298.15,280-300,0.000950722209630328
Density,288.15,280-300,0.01025739373882395
Density,288.15,280-300,0.009409952968532309
Density,323.15,320-360,0.009685423829528084
Density,303.15,300-320,0.0001163022761971888
Density,288.15,280-300,0.0046633609538160314
Density,296.1,280-300,0.005899968403157985
Density,323.15,320-360,0.0047621900019567676
Density,359.15,320-360,0.004041662020149772
Density,302.15,300-320,0.0050321625830953565
Density,363.15,>360,0.0060697242167107035
Density,346.15,320-360,0.004766010027672962
Density,299.0,280-300,0.002553055842978047
Density,303.0,300-320,0.006589010604482581
Density,368.15,>360,0.0038712040077708565
Density,323.15,320-360,0.003997325865150891
Density,303.0,300-320,0.0012914087492434945
Density,287.4,280-300,0.002698481183522894
Density,391.27,>360,0.005133137577565172
Density,293.0,280-300,0.005895521774971435
Density,308.15,300-320,0.0012565403618021165
Density,333.04,320-360,0.005536045573045989
Density,303.15,300-320,0.005666718097961265
Density,313.25,300-320,0.008231779912501125
Density,363.15,>360,0.0028257930402730835
Density,283.7,280-300,7.770066873380443e-05
Density,288.15,280-300,0.00202271757093353
Density,333.15,320-360,0.0016522024521172796
Density,298.15,280-300,0.005711993520079339
Density,300.2,300-320,0.000544936230007842
Density,318.15,300-320,0.0010623925833481707
Density,323.15,320-360,0.005159914325213677
Density,322.15,320-360,0.0014981695456466326
Density,333.15,320-360,0.0009446798303116566
Density,321.648,320-360,0.0007614612450597136
Density,303.15,300-320,0.0021338841172884315
Density,341.15,320-360,6.678381663682842e-05
Density,323.15,320-360,0.01209890586054474
Density,363.15,>360,0.004789888554308064
Density,333.15,320-360,0.00734044287156177
Density,315.65,300-320,0.0021246848792273454
Density,302.15,300-320,0.0003779538863417642
Density,315.15,300-320,0.00026277510104844026
Density,313.15,300-320,0.01828949771535182
Density,295.15,280-300,0.00016292630587688706
Density,328.37,320-360,0.0025757160571444615
Density,348.15,320-360,0.020561638900018053
Density,303.15,300-320,0.002179229247529335
Density,338.15,320-360,0.0010725083677058933
Density,278.1,<280,0.0019793468304998285
Density,301.65,300-320,0.002136792167630297
Density,309.15,300-320,0.00026388165252555495
Density,312.15,300-320,0.002511949225041832
Density,303.15,300-320,0.003540885022266238
Density,299.15,280-300,0.0011681704166877083
Density,323.22,320-360,0.002739816365385117
Density,313.15,300-320,0.00444935552115755
Density,348.15,320-360,0.005678098692548872
Density,298.15,280-300,0.011925237452130588
Density,328.0,320-360,0.004400190256618863
Density,332.91,320-360,0.001158275494555383
Density,328.15,320-360,0.002251191237609973
Density,288.15,280-300,0.0022368281079945262
Density,318.15,300-320,0.0006189393098834373
Density,357.34,320-360,0.0005779364608970994
Density,292.9,280-300,0.0031308037339661254
Density,353.15,320-360,0.003502326709205583
Density,298.15,280-300,0.003337433913972454
Density,293.15,280-300,0.006918899569124726
Density,307.15,300-320,0.0028209292433771793
Density,315.15,300-320,9.157558568073654e-05
Density,303.15,300-320,0.0036716373782175182
Density,328.15,320-360,0.00020259199451189147
Density,333.15,320-360,0.00323673750682385
Density,358.15,320-360,0.00605333865392943
Density,337.149,320-360,0.004316355311796194
Density,343.15,320-360,0.003224392081219385
Density,288.15,280-300,0.002762804037658384
Density,298.2,280-300,0.0009135743599699708
Density,297.15,280-300,0.0005697025341149242
Density,278.15,<280,0.004010752705393195
Density,343.0,320-360,0.0007686166736116107
Density,328.15,320-360,0.005091514132209873
Density,298.1,280-300,0.02965212114974669
Density,293.15,280-300,0.001554981185470261
Density,307.15,300-320,0.00394673596634032
Density,293.15,280-300,0.005632481773624853
Density,318.15,300-320,0.004044682212681394
Density,318.15,300-320,0.003037009883156472
Density,353.15,320-360,0.0011930158848487693
Density,291.4,280-300,0.00033890933735403195
Density,308.15,300-320,0.0052246211113367025
Density,313.15,300-320,0.005125628259914805
Density,293.15,280-300,0.00039103508461213465
Density,323.15,320-360,0.003529505927492238
Density,293.15,280-300,0.0011506288031073453
Density,308.15,300-320,0.0015725225321840952
Density,328.15,320-360,0.0023658873067917696
Density,333.15,320-360,0.003277002160362308
Density,348.15,320-360,0.0008586193356689975
Density,358.15,320-360,0.00027707930879738996
Density,363.12,>360,0.006935628999039878
Density,358.15,320-360,0.003970631665818125
Density,273.15,<280,0.0014056490438383307
Density,299.15,280-300,0.004070712092225648
Density,348.15,320-360,0.004820417061017324
Density,358.15,320-360,0.0010780752021855022
Density,288.15,280-300,0.0025123368718107386
Density,353.48,320-360,0.0059142938870726525
Density,341.15,320-360,0.006851225042979969
Density,328.15,320-360,0.008372852492017913
Density,340.15,320-360,0.0023397086139596013
Density,343.15,320-360,0.0033683359394371948
Density,313.15,300-320,0.0001545232426156673
Density,343.15,320-360,0.0001958411912239555
Density,308.15,300-320,0.004778504175637188
Density,317.9,300-320,0.004765578915423063
Density,338.15,320-360,0.0009202873567843994
Density,358.15,320-360,0.0027927611953018072
Density,337.71,320-360,0.002655921859335386
Density,283.15,280-300,0.0005822336400242989
Density,313.15,300-320,0.000781493461804672
Density,373.15,>360,0.0014542633675258543
Density,343.15,320-360,0.007361865987197014
Density,322.15,320-360,0.004042619635353795
Density,318.15,300-320,0.006167961435847857
Density,303.15,300-320,0.004351605617422649
Density,312.41,300-320,0.0022159042339247037
