panel,feature_group,feature_type,feature,feature_pretty,plot_order_top_to_bottom,plot_order_bottom_to_top,plot_y_base,plot_y_offset,plot_y,property,property_short,importance,normalized_importance,mean_normalized_importance,n_labels,marker,color,mean_bar_color
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,-0.132,1.8679999999999999,ElectricalConductivity,EC,0.0236592306881337,0.0292912081277094,0.023352991631003517,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,-0.04400000000000001,1.956,HeatCapacity,HC,0.0122030865610819,0.0169990338340521,0.023352991631003517,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,0.04400000000000001,2.044,SurfaceTension,ST,0.0323837929172441,0.0213953827354474,0.023352991631003517,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,0.13199999999999998,2.132,ThermalConductivity,TC,0.0159385766516008,0.0261553282578746,0.023352991631003517,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,0.22,2.22,Viscosity,Visc.,0.0349981290878448,0.0312759794875835,0.023352991631003517,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,-0.22,2.78,Density,Density,0.0249091428225842,0.0251345156408504,0.028745591519562033,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,-0.132,2.868,ElectricalConductivity,EC,0.0278393896372133,0.0344664358178392,0.028745591519562033,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,-0.04400000000000001,2.956,HeatCapacity,HC,0.0194067429789962,0.0270338064765363,0.028745591519562033,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,0.04400000000000001,3.044,SurfaceTension,ST,0.0560331175220198,0.0370200611863948,0.028745591519562033,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,0.13199999999999998,3.132,ThermalConductivity,TC,0.020555968394236,0.0337325040222925,0.028745591519562033,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Ani: charged_atom_fraction,Ani: charged atom fraction,9,4,3,0.22,3.22,Viscosity,Visc.,0.016881635450526,0.015086225973459,0.028745591519562033,273,X,#A6611A,#E8DDF0
