run_name,status,seed,mode,target_property,target_train_ratio,target_train_labels,target_original_train_labels,aux_train_labels,total_visible_train_labels,config_path,mask_path,MAE,RMSE,R2,MAPE,NMAE_mean,NRMSE_mean,label_count,log_MAE,log_RMSE,log_R2
sparse_label_seed42_multitask_transfer_SurfaceTension_r0p1_seed42,done_existing,42,multitask_transfer,SurfaceTension,0.1,370,3697,31804,32174,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p1_seed42_train_visible_mask.npz,0.002833794569596648,0.004406065214425325,0.7094330787658691,7.946491241455078,0.07666954663840803,0.11920801390248005,706,0.07462020218372345,0.11492904275655746,0.7309800386428833
sparse_label_seed42_target_only_low_label_SurfaceTension_r0p25_seed42,done_existing,42,target_only_low_label,SurfaceTension,0.25,924,3697,0,924,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p25_seed42_train_visible_mask.npz,0.002868830692023039,0.004608385264873505,0.6821355819702148,7.852884292602539,0.07761746419433074,0.12468187100918261,706,0.07485312223434448,0.11769351363182068,0.717882513999939
sparse_label_seed42_multitask_transfer_SurfaceTension_r0p25_seed42,done_existing,42,multitask_transfer,SurfaceTension,0.25,924,3697,31804,32728,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p25_seed42_train_visible_mask.npz,0.0027809813618659973,0.004399370402097702,0.710315465927124,7.598708629608154,0.07524066229489493,0.11902688283832491,706,0.07429396361112595,0.11467022448778152,0.7321903109550476
sparse_label_seed42_target_only_low_label_SurfaceTension_r0p5_seed42,done_existing,42,target_only_low_label,SurfaceTension,0.5,1848,3697,0,1848,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p5_seed42_train_visible_mask.npz,0.0024688856210559607,0.004255466163158417,0.7289567589759827,6.7610368728637695,0.06679677606107753,0.11513349096116052,706,0.06357994675636292,0.10874706506729126,0.7591425776481628
sparse_label_seed42_multitask_transfer_SurfaceTension_r0p5_seed42,done_existing,42,multitask_transfer,SurfaceTension,0.5,1848,3697,31804,33652,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_SurfaceTension_r0p5_seed42_train_visible_mask.npz,0.0032695215195417404,0.005452787969261408,0.5549778938293457,8.6010103225708,0.08845832909598099,0.14752755404501433,706,0.08241463452577591,0.13658317923545837,0.62005615234375
sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p1_seed42,done_existing,42,target_only_low_label,ThermalConductivity,0.1,65,648,0,65,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p1_seed42_train_visible_mask.npz,0.006686876993626356,0.01480389479547739,0.7188265323638916,3.773360013961792,0.042425017998185766,0.09392359149719852,55,0.03977374732494354,0.07687059044837952,0.7942687273025513
sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p1_seed42,done_existing,42,multitask_transfer,ThermalConductivity,0.1,65,648,34853,34918,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p1_seed42_train_visible_mask.npz,0.006901823915541172,0.0116684939712286,0.8253164887428284,3.9835803508758545,0.04378875282381253,0.07403098146009603,55,0.039940379559993744,0.06040801852941513,0.8729516267776489
sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p25_seed42,done_existing,42,target_only_low_label,ThermalConductivity,0.25,162,648,0,162,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p25_seed42_train_visible_mask.npz,0.005986267235130072,0.013530122116208076,0.7651309370994568,3.2933402061462402,0.03797998608833599,0.08584211655828364,55,0.03465515375137329,0.06917071342468262,0.8334193825721741
sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p25_seed42,done_existing,42,multitask_transfer,ThermalConductivity,0.25,162,648,34853,35015,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_ThermalConductivity_r0p25_seed42_train_visible_mask.npz,0.006210017018020153,0.011569399386644363,0.8282708525657654,3.5886147022247314,0.03939957083249231,0.07340227398745729,55,0.03635963425040245,0.05905338376760483,0.8785858154296875
sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p5_seed42,done_existing,42,target_only_low_label,ThermalConductivity,0.5,324,648,0,324,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ThermalConductivity_r0p5_seed42_train_visible_mask.npz,0.0063785952515900135,0.012275073677301407,0.8066827654838562,3.5912022590637207,0.040469118634870106,0.07787943791772217,55,0.036837827414274216,0.0620327852666378,0.8660253882408142
