row,IL_Name,property,Temperature_K,Pressure_kPa,status,filled_actual,filled_error,source_entry_ids,note
44,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,313,101.325,no_match,,,,
45,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,333,101.325,no_match,,,,
46,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,353,101.325,no_match,,,,
47,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,373,101.325,no_match,,,,
48,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,473,101.325,no_match,,,,
49,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,ElectricalConductivity,573,101.325,no_match,,,,
54,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,ElectricalConductivity,298.15,101.325,no_match,,,,
55,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,ElectricalConductivity,303.15,101.325,no_match,,,,
56,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,ElectricalConductivity,308.15,101.325,no_match,,,,
57,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,ElectricalConductivity,313.15,101.325,no_match,,,,
58,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,ElectricalConductivity,318.15,101.325,no_match,,,,
59,(cyanomethyl)triphenylphosphonium 2-acrylamido-2-methylpropanesulfonate,ElectricalConductivity,298.1,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
60,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide",ElectricalConductivity,303.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
61,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide",ElectricalConductivity,308.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
62,(methoxymethyl)triphenylphosphonium 2-acrylamido-2-methylpropanesulfonate,ElectricalConductivity,298.1,101.325,no_match,,,,
63,"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",ElectricalConductivity,413.15,101.325,no_match,,,,
64,"1,1'-(butane-1,4-diyl)bis(3-methylimidazolium) imidazole-2-carboxylate(1:2)",ElectricalConductivity,313,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
65,"1,1'-(dodecane-1,12-diyl)bis(3-methyl-1H-imidazolium) tetrafluoroborate",ElectricalConductivity,297,101.325,no_match,,,,
66,"1,1'-(dodecane-1,12-diyl)bis(3-methyl-1H-imidazolium) tetrafluoroborate",ElectricalConductivity,297,,no_match,,,,
67,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,293.15,101.325,no_match,,,,
68,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,298.15,101.325,no_match,,,,
69,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,303.15,101.325,no_match,,,,
70,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,308.15,101.325,no_match,,,,
71,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,313.15,101.325,no_match,,,,
72,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,318.15,101.325,no_match,,,,
73,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,323.15,101.325,no_match,,,,
74,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,328.15,101.325,no_match,,,,
75,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,333.15,101.325,no_match,,,,
76,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,338.15,101.325,no_match,,,,
77,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,343.15,101.325,no_match,,,,
78,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,348.15,101.325,no_match,,,,
79,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,353.15,101.325,no_match,,,,
80,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,358.15,101.325,no_match,,,,
81,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,363.15,101.325,no_match,,,,
82,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,288.15,101,no_match,,,,
83,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,288.15,101.325,no_match,,,,
84,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,293.15,101.325,no_match,,,,
85,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,298.15,101,no_match,,,,
86,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,298.15,101.325,no_match,,,,
87,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,303.15,101.325,no_match,,,,
88,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,308.15,101,no_match,,,,
89,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,308.15,101.325,no_match,,,,
90,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,313.15,101.325,no_match,,,,
91,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,318.15,101.325,no_match,,,,
92,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,323.15,101.325,no_match,,,,
93,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,328.15,101.325,no_match,,,,
94,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,333.15,101.325,no_match,,,,
95,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,338.15,101.325,no_match,,,,
96,"1,2-diethylpyridinium ethylsulfate",ElectricalConductivity,343.15,101.325,no_match,,,,
97,"1,2-dimethyl-3-(4'-vinylbenzyl)imidazolium bis(trifluoromethanesulfonyl)amide",ElectricalConductivity,296.1,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
98,"1,2-dimethyl-3-(4'-vinylbenzyl)imidazolium bis(trifluoromethanesulfonyl)amide",ElectricalConductivity,298.1,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
99,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,293.15,101.325,no_match,,,,
100,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,298.15,101.325,no_match,,,,
101,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,301.15,,no_match,,,,
102,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,303.15,101.325,no_match,,,,
103,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,306.35,,no_match,,,,
104,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,308.15,101.325,no_match,,,,
105,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,311.55,,no_match,,,,
106,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,313.15,101.325,no_match,,,,
107,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,315.95,,no_match,,,,
108,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,318.15,101.325,no_match,,,,
109,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,320.75,,no_match,,,,
110,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,323.15,101.325,no_match,,,,
111,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,326.25,,no_match,,,,
112,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,328.15,101.325,no_match,,,,
113,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,331.25,,no_match,,,,
114,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,333.15,101.325,no_match,,,,
115,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,336.45,,no_match,,,,
116,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,338.15,101.325,no_match,,,,
117,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,341.75,,no_match,,,,
118,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,343.15,101.325,no_match,,,,
119,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,348.15,101.325,no_match,,,,
120,"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",ElectricalConductivity,353.15,101.325,no_match,,,,
121,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,278.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
122,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,283.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
123,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,288.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
124,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,293.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
125,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,295.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
126,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,298.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
127,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,303.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
128,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,308.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
129,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,313.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
130,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,318.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
131,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,323.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
132,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,328.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
133,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,333.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
134,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,338.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
135,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,343.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
136,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,348.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
137,"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",ElectricalConductivity,353.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
138,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,290,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
139,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,293,,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
140,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,293.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
141,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,293.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
142,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,295,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
143,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,295.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
144,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,298,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
145,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,298.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
146,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,298.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
148,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,300,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
149,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,303.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
150,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,303.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
151,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,303.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
152,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,304.25,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
153,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,305,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
154,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,308.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
155,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,310,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
156,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,313.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
157,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,313.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
158,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,313.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
159,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,313.65,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
160,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,315,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
161,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,318.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
162,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,320,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
163,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,323,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
164,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,323.15,100,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
165,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,323.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
166,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,323.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
167,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,324.35,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
168,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,325,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
169,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,330,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
170,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,333.1,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
171,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,333.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
172,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,333.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
173,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,335,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
174,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,335.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
175,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,340,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
176,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,343.15,100.5,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
177,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,343.15,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
178,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ElectricalConductivity,344.65,101.325,query_error,,,,"ReadTimeout: HTTPSConnectionPool(host='ilthermo.boulder.nist.gov', port=443): Read timed out. (read timeout=20.0)"
