Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,338.15,101.325,0.02202,0.00025,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,343.15,101.325,0.01908,0.00021,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,348.15,101.325,0.01665,0.00019,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,353.15,101.325,0.01474,0.00017,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,358.15,101.325,0.01299,0.00015,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,363.15,101.325,0.01158,0.00013,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,368.15,101.325,0.01038,0.00012,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,373.15,101.325,0.00936,0.00011,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,283.15,100.0,0.2512,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,288.15,100.0,0.1864,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,293.15,100.0,0.1414,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,298.15,100.0,0.1094,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,303.15,100.0,0.0863,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
