bootstrap_iteration,hard_feasible_count,pareto_rank_1_count,formal_shortlist_count,top8_jaccard_to_nominal,formal_shortlist_ids,conductivity_min,viscosity_max,volumetric_heat_capacity_min,thermal_diffusivity_min
46,12,9,8,0.06666666666666667,UPR-0079;UPR-0162;UPR-0169;UPR-0359;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.1871971040964126,0.08862667344510552,1902004.1205995413,6.009393423466764e-08
47,21,13,8,0.23076923076923078,UPR-0079;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0556;UPR-0558;UPR-0598,0.12840743176639074,0.10567549616098403,1913728.5286252135,6.039128751660567e-08
48,45,15,8,0.23076923076923078,UPR-0024;UPR-0066;UPR-0155;UPR-0209;UPR-0280;UPR-0286;UPR-0322;UPR-0581,0.12721429206430906,0.1222724094986915,1893122.1200528224,5.8998362854057676e-08
49,29,13,8,0.7777777777777778,UPR-0024;UPR-0064;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0581,0.12721429206430906,0.11887500993907446,1893122.1200528224,6.284397355785382e-08
50,24,11,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.13625182583928108,0.09289424493908878,1916781.674054468,5.8998362854057676e-08
51,35,15,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0286;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0581,0.0920931473374366,0.11887500993907446,1880683.9810043082,5.915903071275784e-08
52,16,12,8,0.06666666666666667,UPR-0132;UPR-0154;UPR-0343;UPR-0359;UPR-0386;UPR-0430;UPR-0598;UPR-0604,0.0735074952244758,0.11887500993907446,1880178.5234177,6.183449076614008e-08
53,35,14,8,0.45454545454545453,UPR-0024;UPR-0064;UPR-0209;UPR-0284;UPR-0286;UPR-0343;UPR-0419;UPR-0581,0.07815390825271601,0.13417083956301207,1902004.1205995413,6.039128751660567e-08
54,35,10,8,0.45454545454545453,UPR-0024;UPR-0064;UPR-0155;UPR-0209;UPR-0322;UPR-0343;UPR-0419;UPR-0581,0.0920931473374366,0.1064689774066209,1886259.0710661025,6.153900446620928e-08
55,16,11,8,0.14285714285714285,UPR-0169;UPR-0289;UPR-0290;UPR-0359;UPR-0419;UPR-0558;UPR-0598;UPR-0604,0.15077670291066167,0.09289424493908878,1917427.0422241595,6.180383524770246e-08
56,27,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.1086828112602233,1880178.5234177,6.286466622856728e-08
57,29,13,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.1462786495685577,1874571.122046048,6.284397355785382e-08
58,48,17,8,0.06666666666666667,UPR-0020;UPR-0024;UPR-0066;UPR-0155;UPR-0280;UPR-0286;UPR-0322;UPR-0408,0.1245994940400123,0.1381369829177856,1882200.3537641324,6.039128751660567e-08
59,14,8,8,0.06666666666666667,UPR-0079;UPR-0158;UPR-0162;UPR-0359;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.22388778254389757,0.1076248362660408,1919363.1467332337,5.915903071275784e-08
60,19,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.1398312449455261,0.09289424493908878,1894450.39578262,6.128334736241973e-08
61,31,14,8,0.6,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0393;UPR-0419;UPR-0558;UPR-0581,0.060121081769466324,0.1222724094986915,1894450.39578262,5.8450925162870543e-08
62,23,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.07815390825271601,0.10841831751167769,1880683.9810043082,6.275170563891283e-08
63,21,10,8,0.3333333333333333,UPR-0024;UPR-0290;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581;UPR-0598,0.15436073020100588,0.0998274758458137,1884930.795336305,6.265973908359997e-08
64,45,13,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0419;UPR-0581,0.07815390825271601,0.11887500993907446,1874571.122046048,5.8998362854057676e-08
65,17,12,8,0.23076923076923078,UPR-0169;UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0598,0.1398312449455261,0.09289424493908878,1898435.2229720124,6.161209241986031e-08
66,31,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.1462786495685577,1886259.0710661025,6.262898311061963e-08
67,36,12,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0280;UPR-0286;UPR-0322;UPR-0343;UPR-0419,0.1350586861371994,0.10567549616098403,1917727.6195014282,5.8633172393854354e-08
