candidate_id,cation_smiles,anion_smiles,canonical_cation_smiles,canonical_anion_smiles,cation_identity_key,anion_identity_key,canonical_il_key,cation_charge,anion_charge,cation_support_count,anion_support_count,charge_balance_pass,standard_inchikey_parse_pass,identity_new_to_benchmark,identity_new_to_primary_training_split,identity_audit_pass,generation_status,warnings
UPR-0132,C(CCC)[N+](C)(CCCC)CCCC,N#C[B-](C#N)(C#N)C#N,CCCC[N+](C)(CCCC)CCCC,N#C[B-](C#N)(C#N)C#N,HJHUXWBTVVFLQI-UHFFFAOYSA-N,KDCFMDHINPOTEA-UHFFFAOYSA-N,HJHUXWBTVVFLQI-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,1,-1,5,6,True,True,True,True,True,retained,
UPR-0133,C(C)[N+]1=CC=CC=C1,CS(=O)(=O)[O-],CC[n+]1ccccc1,CS(=O)(=O)[O-],OIDIRWZVUWCCCO-UHFFFAOYSA-N,AFVFQIVMOAPDHO-UHFFFAOYSA-M,OIDIRWZVUWCCCO-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,1,-1,7,10,True,True,True,True,True,retained,
UPR-0134,C[n+]1ccn(CCCC#N)c1,Cc1ccc(S(=O)(=O)[O-])cc1,C[n+]1ccn(CCCC#N)c1,Cc1ccc(S(=O)(=O)[O-])cc1,SROUAIZIOIOQID-UHFFFAOYSA-N,JOXIMZWYDAKGHI-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,1,-1,5,6,True,True,True,True,True,retained,
UPR-0135,COCC[n+]1ccn(C)c1,O=[N+]([O-])[O-],COCC[n+]1ccn(C)c1,O=[N+]([O-])[O-],BYCVVPOEPZGGGL-UHFFFAOYSA-N,NHNBFGGVMKEFGY-UHFFFAOYSA-N,BYCVVPOEPZGGGL-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,1,-1,7,12,True,True,True,True,True,retained,
UPR-0136,C[n+]1ccn(CCCC#N)c1,NCC(=O)[O-],C[n+]1ccn(CCCC#N)c1,NCC(=O)[O-],SROUAIZIOIOQID-UHFFFAOYSA-N,DHMQDGOQFOQNFH-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,1,-1,5,5,True,True,True,True,True,retained,
UPR-0137,C[n+]1ccn(CCCC#N)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C[n+]1ccn(CCCC#N)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SROUAIZIOIOQID-UHFFFAOYSA-N,JGTNAGYHADQMCM-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,1,-1,5,6,True,True,True,True,True,retained,
UPR-0138,C(C)[NH3+],NCC(=O)[O-],CC[NH3+],NCC(=O)[O-],QUSNBJAOOMFDIB-UHFFFAOYSA-O,DHMQDGOQFOQNFH-UHFFFAOYSA-M,QUSNBJAOOMFDIB-UHFFFAOYSA-O||DHMQDGOQFOQNFH-UHFFFAOYSA-M,1,-1,7,5,True,True,True,True,True,retained,
UPR-0139,CCCCCC[n+]1ccn(CCC#N)c1,O=C[O-],CCCCCC[n+]1ccn(CCC#N)c1,O=C[O-],IDRFNBZFUVYEJX-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,IDRFNBZFUVYEJX-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,6,14,True,True,True,True,True,retained,
UPR-0140,COCC[n+]1ccn(C)c1,CCCC(=O)[O-],COCC[n+]1ccn(C)c1,CCCC(=O)[O-],BYCVVPOEPZGGGL-UHFFFAOYSA-N,FERIUCNNQQJTOY-UHFFFAOYSA-M,BYCVVPOEPZGGGL-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,1,-1,7,7,True,True,True,True,True,retained,
UPR-0141,CN1C=[NH+]C=C1,CCCC(=O)[O-],Cn1cc[nH+]c1,CCCC(=O)[O-],MCTWTZJPVLRJOU-UHFFFAOYSA-O,FERIUCNNQQJTOY-UHFFFAOYSA-M,MCTWTZJPVLRJOU-UHFFFAOYSA-O||FERIUCNNQQJTOY-UHFFFAOYSA-M,1,-1,6,7,True,True,True,True,True,retained,
UPR-0142,C[n+]1ccn(CCO)c1,O=C[O-],C[n+]1ccn(CCO)c1,O=C[O-],ZGZLRWJZGFRHHQ-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,9,14,True,True,True,True,True,retained,
UPR-0143,CC[N+](C)(C)CCOC,O=C[O-],CC[N+](C)(C)CCOC,O=C[O-],KIJWMNYEVKNAGY-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,KIJWMNYEVKNAGY-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,5,14,True,True,True,True,True,retained,
UPR-0144,C(C)[NH3+],O=S(=O)([O-])C(F)(F)C(F)F,CC[NH3+],O=S(=O)([O-])C(F)(F)C(F)F,QUSNBJAOOMFDIB-UHFFFAOYSA-O,KZWJWYFPLXRYIL-UHFFFAOYSA-M,QUSNBJAOOMFDIB-UHFFFAOYSA-O||KZWJWYFPLXRYIL-UHFFFAOYSA-M,1,-1,7,6,True,True,True,True,True,retained,
UPR-0145,CCCCCCCC[P+](CC)(CC)CC,O=C[O-],CCCCCCCC[P+](CC)(CC)CC,O=C[O-],QCLVFLIIJODTJU-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,QCLVFLIIJODTJU-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,7,14,True,True,True,True,True,retained,
UPR-0146,C(CCC)[N+](CCCC)(CCCC)CCCC,O=S(=O)([O-])O,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([O-])O,DZLFLBLQUQXARW-UHFFFAOYSA-N,QAOWNCQODCNURD-UHFFFAOYSA-M,DZLFLBLQUQXARW-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,1,-1,8,12,True,True,True,True,True,retained,
UPR-0147,CCCCCCCC[P+](CC)(CC)CC,N#C[N-]C#N,CCCCCCCC[P+](CC)(CC)CC,N#C[N-]C#N,QCLVFLIIJODTJU-UHFFFAOYSA-N,UKDLHLAPDXIAID-UHFFFAOYSA-N,QCLVFLIIJODTJU-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,1,-1,7,26,True,True,True,True,True,retained,
UPR-0148,C(CCC)[N+](CCCC)(CCCC)CCCC,CCCC(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC,CCCC(=O)[O-],DZLFLBLQUQXARW-UHFFFAOYSA-N,FERIUCNNQQJTOY-UHFFFAOYSA-M,DZLFLBLQUQXARW-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,1,-1,8,7,True,True,True,True,True,retained,
UPR-0149,C[n+]1ccn(CCCC#N)c1,O=S(=O)([O-])C(F)(F)C(F)F,C[n+]1ccn(CCCC#N)c1,O=S(=O)([O-])C(F)(F)C(F)F,SROUAIZIOIOQID-UHFFFAOYSA-N,KZWJWYFPLXRYIL-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,1,-1,5,6,True,True,True,True,True,retained,
UPR-0150,CCCCCCCCCC[n+]1ccn(C)c1,C[C@@H](O)[C@H](N)C(=O)[O-],CCCCCCCCCC[n+]1ccn(C)c1,C[C@@H](O)[C@H](N)C(=O)[O-],LDVVBLGHGCHZBJ-UHFFFAOYSA-N,AYFVYJQAPQTCCC-GBXIJSLDSA-M,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,1,-1,11,7,True,True,True,True,True,retained,
UPR-0151,C=CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C=CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,WWVMHGUBIOZASN-UHFFFAOYSA-N,OXDZSRZJFHVGGS-UHFFFAOYSA-N,WWVMHGUBIOZASN-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,1,-1,7,14,True,True,True,True,True,retained,
UPR-0152,CCCCCC[n+]1ccn(C)c1,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[n+]1ccn(C)c1,O=S(=O)(F)[N-]S(=O)(=O)F,RVEJOWGVUQQIIZ-UHFFFAOYSA-N,NVIANCROYQGROD-UHFFFAOYSA-N,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,1,-1,22,14,True,True,True,True,True,retained,
UPR-0153,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,NCC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,NCC(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N,DHMQDGOQFOQNFH-UHFFFAOYSA-M,PYVOHVLEZJMINC-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,1,-1,22,5,True,True,True,True,True,retained,
UPR-0154,COCCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F,COCCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F,IXGKOODVBRRWQB-UHFFFAOYSA-N,DTQVDTLACAAQTR-UHFFFAOYSA-M,IXGKOODVBRRWQB-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,1,-1,5,12,True,True,True,True,True,retained,
UPR-0155,CN1C=[NH+]C=C1,N#C[B-](C#N)(C#N)C#N,Cn1cc[nH+]c1,N#C[B-](C#N)(C#N)C#N,MCTWTZJPVLRJOU-UHFFFAOYSA-O,KDCFMDHINPOTEA-UHFFFAOYSA-N,MCTWTZJPVLRJOU-UHFFFAOYSA-O||KDCFMDHINPOTEA-UHFFFAOYSA-N,1,-1,6,6,True,True,True,True,True,retained,
UPR-0156,CCCC[P+](CCCC)(CCCC)CCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,CCCC[P+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,BJQWBACJIAKDTJ-UHFFFAOYSA-N,NHHWJSXMTZIPES-UHFFFAOYSA-N,BJQWBACJIAKDTJ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,1,-1,9,169,True,True,True,True,True,retained,
UPR-0157,CN1C=[N+](C=C1)C,O=S(=O)([O-])C(F)(F)C(F)F,Cn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)C(F)F,HVVRUQBMAZRKPJ-UHFFFAOYSA-N,KZWJWYFPLXRYIL-UHFFFAOYSA-M,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,1,-1,7,6,True,True,True,True,True,retained,
UPR-0158,CC[N+](C)(C)CCOC,O=C([O-])C(F)(F)F,CC[N+](C)(C)CCOC,O=C([O-])C(F)(F)F,KIJWMNYEVKNAGY-UHFFFAOYSA-N,DTQVDTLACAAQTR-UHFFFAOYSA-M,KIJWMNYEVKNAGY-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,1,-1,5,12,True,True,True,True,True,retained,
UPR-0159,C(CCC)[N+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,DZLFLBLQUQXARW-UHFFFAOYSA-N,SLSPYQCCSCAKIB-UHFFFAOYSA-N,DZLFLBLQUQXARW-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,1,-1,8,6,True,True,True,True,True,retained,
UPR-0160,C(CCC)[N+](C)(CCCC)CCCC,COS(=O)(=O)[O-],CCCC[N+](C)(CCCC)CCCC,COS(=O)(=O)[O-],HJHUXWBTVVFLQI-UHFFFAOYSA-N,JZMJDSHXVKJFKW-UHFFFAOYSA-M,HJHUXWBTVVFLQI-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,1,-1,5,12,True,True,True,True,True,retained,
UPR-0161,COCCCC[n+]1ccn(C)c1,N#C[N-]C#N,COCCCC[n+]1ccn(C)c1,N#C[N-]C#N,IXGKOODVBRRWQB-UHFFFAOYSA-N,UKDLHLAPDXIAID-UHFFFAOYSA-N,IXGKOODVBRRWQB-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,1,-1,5,26,True,True,True,True,True,retained,
UPR-0162,COCCCC[n+]1ccn(C)c1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,COCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IXGKOODVBRRWQB-UHFFFAOYSA-N,NHHWJSXMTZIPES-UHFFFAOYSA-N,IXGKOODVBRRWQB-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,1,-1,5,169,True,True,True,True,True,retained,
UPR-0163,CCCCCCCC[P+](CC)(CC)CC,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCC[P+](CC)(CC)CC,O=S(=O)(F)[N-]S(=O)(=O)F,QCLVFLIIJODTJU-UHFFFAOYSA-N,NVIANCROYQGROD-UHFFFAOYSA-N,QCLVFLIIJODTJU-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,1,-1,7,14,True,True,True,True,True,retained,
UPR-0164,CCCCCC[n+]1ccn(CCC#N)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCC[n+]1ccn(CCC#N)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IDRFNBZFUVYEJX-UHFFFAOYSA-N,SLSPYQCCSCAKIB-UHFFFAOYSA-N,IDRFNBZFUVYEJX-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,1,-1,6,6,True,True,True,True,True,retained,
UPR-0165,CC[N+](C)(C)CCOC,N#C[N-]C#N,CC[N+](C)(C)CCOC,N#C[N-]C#N,KIJWMNYEVKNAGY-UHFFFAOYSA-N,UKDLHLAPDXIAID-UHFFFAOYSA-N,KIJWMNYEVKNAGY-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,1,-1,5,26,True,True,True,True,True,retained,
