candidate_id,canonical_il_key,nominal_pareto_rank_1,nominal_formal_shortlist,hard_feasible_frequency,pareto_rank_1_frequency,selection_frequency
UPR-0024,KIJWMNYEVKNAGY-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.708,0.708,0.706
UPR-0458,QCLVFLIIJODTJU-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.812,0.008,0.008
UPR-0396,XUAXVBUVQVRIIQ-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.87,0.006,0.006
UPR-0500,XUAXVBUVQVRIIQ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.01,0.006,0.006
UPR-0122,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.004,0.004,0.004
UPR-0065,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.082,0.082,0.002
UPR-0058,KIJWMNYEVKNAGY-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.292,0.052,0.002
UPR-0552,LSFWFJFDPRFPBK-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.392,0.014,0.002
UPR-0354,IXGKOODVBRRWQB-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.02,0.002,0.002
UPR-0189,WWVMHGUBIOZASN-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.136,0.136,0.0
UPR-0287,NJMWOUFKYKNWDW-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.136,0.136,0.0
UPR-0323,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.056,0.056,0.0
UPR-0507,WVDDUSFOSWWJJH-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.03,0.028,0.0
UPR-0281,QCLVFLIIJODTJU-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.034,0.022,0.0
UPR-0301,WVDDUSFOSWWJJH-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.072,0.022,0.0
UPR-0143,KIJWMNYEVKNAGY-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.036,0.018,0.0
UPR-0205,KIJWMNYEVKNAGY-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.03,0.018,0.0
UPR-0129,BYCVVPOEPZGGGL-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.024,0.016,0.0
UPR-0461,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.016,0.016,0.0
UPR-0562,WVDDUSFOSWWJJH-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.02,0.01,0.0
UPR-0463,NJMWOUFKYKNWDW-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,False,False,0.008,0.008,0.0
UPR-0236,KIJWMNYEVKNAGY-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.006,0.006,0.0
UPR-0279,DZLFLBLQUQXARW-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.048,0.006,0.0
UPR-0337,HJHUXWBTVVFLQI-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.008,0.006,0.0
UPR-0379,KIJWMNYEVKNAGY-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.006,0.006,0.0
UPR-0478,MCTWTZJPVLRJOU-UHFFFAOYSA-O||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.006,0.006,0.0
UPR-0229,MXLZUALXSYVAIV-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.012,0.004,0.0
UPR-0373,MCTWTZJPVLRJOU-UHFFFAOYSA-O||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.004,0.004,0.0
UPR-0462,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.004,0.004,0.0
UPR-0515,MXLZUALXSYVAIV-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.006,0.004,0.0
UPR-0553,LSFWFJFDPRFPBK-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.006,0.004,0.0
UPR-0572,LSFWFJFDPRFPBK-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.006,0.004,0.0
UPR-0070,KIJWMNYEVKNAGY-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.022,0.002,0.0
UPR-0142,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.014,0.002,0.0
UPR-0204,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.012,0.002,0.0
UPR-0273,NJMWOUFKYKNWDW-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.002,0.002,0.0
UPR-0573,LSFWFJFDPRFPBK-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.002,0.002,0.0
UPR-0582,LSFWFJFDPRFPBK-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.136,0.002,0.0
UPR-0001,WXMVWUBWIHZLMQ-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0002,QUSNBJAOOMFDIB-UHFFFAOYSA-O||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0003,PYVOHVLEZJMINC-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0004,QUSNBJAOOMFDIB-UHFFFAOYSA-O||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0005,QUSNBJAOOMFDIB-UHFFFAOYSA-O||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0006,IDRFNBZFUVYEJX-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0007,BJQWBACJIAKDTJ-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0008,PYVOHVLEZJMINC-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0009,BJQWBACJIAKDTJ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0010,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0011,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0012,QUSNBJAOOMFDIB-UHFFFAOYSA-O||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0013,BYCVVPOEPZGGGL-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0014,QCLVFLIIJODTJU-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0015,BJQWBACJIAKDTJ-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0016,PYVOHVLEZJMINC-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0017,QUSNBJAOOMFDIB-UHFFFAOYSA-O||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0018,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0019,QCLVFLIIJODTJU-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0021,OIDIRWZVUWCCCO-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0022,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0023,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0025,QUSNBJAOOMFDIB-UHFFFAOYSA-O||NHHWJSXMTZIPES-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0026,OIDIRWZVUWCCCO-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0027,OIDIRWZVUWCCCO-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0028,BJQWBACJIAKDTJ-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0029,BJQWBACJIAKDTJ-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0030,QUSNBJAOOMFDIB-UHFFFAOYSA-O||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0031,HJHUXWBTVVFLQI-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0032,IDRFNBZFUVYEJX-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0033,MCTWTZJPVLRJOU-UHFFFAOYSA-O||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.002,0.0,0.0
UPR-0034,PYVOHVLEZJMINC-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0035,KIJWMNYEVKNAGY-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0036,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.018,0.0,0.0
UPR-0037,DZLFLBLQUQXARW-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0038,KIJWMNYEVKNAGY-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0039,MCTWTZJPVLRJOU-UHFFFAOYSA-O||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0040,KIJWMNYEVKNAGY-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0041,IDRFNBZFUVYEJX-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0042,IDRFNBZFUVYEJX-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0043,IDRFNBZFUVYEJX-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0044,PYVOHVLEZJMINC-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0045,KIJWMNYEVKNAGY-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0046,IDRFNBZFUVYEJX-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0047,OIDIRWZVUWCCCO-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0048,BJQWBACJIAKDTJ-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.812,0.0,0.0
UPR-0049,QUSNBJAOOMFDIB-UHFFFAOYSA-O||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0050,OIDIRWZVUWCCCO-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0051,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.006,0.0,0.0
UPR-0052,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0053,PYVOHVLEZJMINC-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0054,MCTWTZJPVLRJOU-UHFFFAOYSA-O||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0055,IDRFNBZFUVYEJX-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0056,QCLVFLIIJODTJU-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0057,BYCVVPOEPZGGGL-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0059,REACWASHYHDPSQ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0060,IDRFNBZFUVYEJX-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0061,KIJWMNYEVKNAGY-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0062,OIDIRWZVUWCCCO-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0063,SROUAIZIOIOQID-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0067,BYCVVPOEPZGGGL-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0068,QUSNBJAOOMFDIB-UHFFFAOYSA-O||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0069,HJHUXWBTVVFLQI-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0071,MCTWTZJPVLRJOU-UHFFFAOYSA-O||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0072,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0073,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0074,QCLVFLIIJODTJU-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0075,HJHUXWBTVVFLQI-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0076,SROUAIZIOIOQID-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0077,BYCVVPOEPZGGGL-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0078,KIJWMNYEVKNAGY-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0080,IXGKOODVBRRWQB-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0081,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0082,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0083,KIJWMNYEVKNAGY-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0084,HJHUXWBTVVFLQI-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0085,BYCVVPOEPZGGGL-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0086,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0087,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0088,DZLFLBLQUQXARW-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0089,PYVOHVLEZJMINC-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0090,BYCVVPOEPZGGGL-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0091,OIDIRWZVUWCCCO-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0092,PYVOHVLEZJMINC-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0094,DZLFLBLQUQXARW-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0095,FCZZZYZIQDHCIW-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0096,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0097,MCTWTZJPVLRJOU-UHFFFAOYSA-O||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0098,QUSNBJAOOMFDIB-UHFFFAOYSA-O||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0099,MCTWTZJPVLRJOU-UHFFFAOYSA-O||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0100,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0101,KIJWMNYEVKNAGY-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.002,0.0,0.0
UPR-0102,BJQWBACJIAKDTJ-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0103,QUSNBJAOOMFDIB-UHFFFAOYSA-O||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0104,IXGKOODVBRRWQB-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0105,IDRFNBZFUVYEJX-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
